text,label,label_name,language,domain,source,original_split,has_emoji,emoji_count,char_count,word_count,split
"The character of Tarzan has been subjected to so many clichés, and so many bad interpretations, that those who are hoping for a different kind of version (people like me, I mean, who liked the Tarzan books as a kid and have always wished for a movie version that followed the books just a little) ought to know how the recent renditions stack up. Some of the IMDb reviews address this point, but here's my $.02<br /><br />I am aware of only two--count 'em--cinema depictions of Tarzan, namely Greystoke with Christopher Lambert and the Disney animated version, that try to depict Edgar Rice Burrough's rather interesting character (the son of a marooned English noble couple, picked up after their death by a tribe of apes who raise him as one of themselves, and who becomes ""lord of the jungle"" because of his superior human intellect before making it back to England and claiming his other identity) rather than the usual Hollywood jungle-man whose origin remains obscure and whose trademarks are his famous yell, his mysterious inability to speak proper English despite long exposure to people who know the language, his habit of swinging on vines, his strength, heroism, etc. About the only thing these two characters have in common are the name Tarzan and the fact that they both have a wife named Jane. Ron Ely's TV version is something of a compromise: Like Burroughs' character, he speaks good English and is adept and suave in both cultures in a sort of JamesBondish way, but he's no Lord Greystoke and there's no Jane.<br /><br />Well, this film is in a third category of Tarzan films, and I hope it remains a category of one because it's awful. This category uses the character as a vehicle for, of all things, soft porn. Jane, played by legendarily bad actress Bo Derek is in Africa looking for her dad the absent-minded professor who is combing the jungle looking for something which is never specified. Though her dad is supposed to have been missing for a long time, she finds him effortlessly. Richard Harris as the dad is the best thing here; he sees the film is stupid so he has fun overacting and hamming in a way that reminds me of Peter O'Toole's deliberately silly performance in What's New Pussycat. Dad explains the legend of Tarzan (""some sort of ghost or spirit"" he says--either a steal from, or an inartistic attempt at homage to, King Kong) to his daughter, who is at this point unfamiliar with the ape-man. Shortly afterward, we hear the infamous cliché of the Tarzan yell. Dad dies, which oddly doesn't seem to faze his devoted daughter very much. And then.....<br /><br />Then Tarzan appears, but says nothing. Indeed, he says nothing during the entire film. He and Jane fall in love, and they romp around wearing almost nothing as she recites doggerel love-poetry off-screen. The End. That's the plot. <br /><br />Well, not exactly; there's also a scene where Tarzan wrestles unrealistically with a boa constrictor--a most unusual boa, since it's the only poisonous one ever seen. Jane treats the bite with the aid of a chimp who helps by wringing out the garment she tears off to bind the wound with (I'm not making this up!), and this is only one of many excuses for her to take her clothes off.<br /><br />I always like to conclude a review by saying something positive, but this time it's hard. Let's see... well, it's unfair to criticize this film for featuring an orangutan, even though we all know orangutans don't live in Africa; after all, the classic Tarzan movies all used Indian elephants, did they not? Also, you have to admit that Bo Derek is pretty in face and form. (But in that case why the hell didn't she just make a career as an art model? What does it say about a movie when it becomes plain boring to look at a pretty woman? I actually haven't decided whether it's a positive or a negative that they never showed her crotch.) But now I realize: try as I may, I can't end on a positive note. <br /><br />See this film if you're a bad film buff. I'm outa here.",0,negative,en,movie_review,imdb,train,False,0,4012,711,train
"If there was some weird inversed Oscar Academy awards festival this flick would win it all. It has all the gods, excellent plot, extreme special effects coupled with extremely good acting skills and of course in every role there is a celebrity superstar. Well, this could be the scenario if the world was inversed, but it's not. Instead it's the worst horror flick ever made, not only bad actors that seem to read the scripts from a teleprinter with bad dyslexia, but also extremely low on special effects. For example the devil costume (which by the way is a must-see), is something of the most hilarious I've ever seen. Whenever I saw that red-black so called monster on screen I couldn't hold my laugh back. And to top of things it looked like the funny creature was transported by a conveyor-belt.<br /><br />Do not do the same mistake as I did. Checking IMDB seeing that the movie was released in 2003, had less than five votes and thinking: -""Well, it's worth a shot, can't be that bad"".<br /><br />Yes it could.<br /><br />I'm not even going to waste more words on this movie.",0,negative,en,movie_review,imdb,train,False,0,1083,193,train
Happy 30th Birthday to David Price! He is 3-0 with a 1.78 ERA in 4 starts with the #BlueJays.,1,positive,en,social_media,tweet_eval_sentiment,train,False,0,93,19,train
@user btw yakub was a good terrorist !! may he never rest in peace ..,0,negative,en,social_media,tweet_eval_sentiment,train,False,0,69,15,train
就是送的太慢，但服务不错,1,positive,zh,food_delivery,waimai_10k,unsplit,False,0,12,1,train
"First off, I'm not here to dog this movie. I find it totally enjoyable in spite of the poor production quality. The acting herein is about as abominable as the monster stalking them, although the monster itself is quite well done...impressively well done, at that. He actually looks kind of other-worldly, like an alien family on vacation landed in the Himalayas and while dad was out taking a ... attending to nature's call, Spot got loose and they just didn't have time to hunt him down. That, or he's the Caucasian brother of the Wishmaster. I haven't decided which.<br /><br />Actually, this seems to have been filmed somewhere in snow country, yes, but more likely Canada somewhere than China anywhere. The trees and vistas say Canada to me, and it's okay that the set area never takes on the look or feel of uber-coldness one might expect to find in the Himalayas of China. It's a Sci-Fi Channel movie, so we can forgive the lack of location.<br /><br />Further, apparently (as we have just established) Sci-Fi directors do not travel often, as they are not aware that commercial planes fly above weather like what is featured herein and the subsequent crash actually would not have happened. But as I said, it's a Sci-Fi Channel movie so we must forgive a few things.<br /><br />The movie is pretty graphic at times, and rotates between ""Alive"" about the Donner Party, ""Predator"" about the alien in the woods, and any bad wushu movie where they fly about on wires. The Yeti apparently can leap about like Spiderman...or Super Mario...remember? ""Run faster! Jump higher! Live longer!"" <br /><br />Also, the Yeti has missed his teddy bear. He's searched high and low for it, but cannot seem to make a cadaver work. Poor Yeti! You can't help but feel sorry for it. It has survived and evolved thousands of years only to succumb to severe teddy bear loss. He's missed his bear. Or maybe it wants to mate, but that thought is BANISHED! Do ya hear me? Well, it does seem to be an unmated male. REBANISHED! <br /><br />And it's superhuman. Well, it's not human...it's super-Yeti! But then again, what's normal-Yeti? I don't know, but he has a definite Michael Meyers quality that is completely unsettling. And he's got this fabulous way of cleaning his fur. FABulous Dahlink! It's spotlessly white at times when it SO shouldn't be. He's fastidiously superhu-...super-Yeti.<br /><br />All in all? This was a lot of fun to watch, has some great kills and a few honest plot elements. In spite of the horribly gravel-like production style, this is actually quite entertaining. I can't help wondering if they're planning on another one? <br /><br />It rates a 6.0/10 on the M4TV Scale.<br /><br />It rates a 4.4/10 on the Movie Scale from...<br /><br />the Fiend :.",0,negative,en,movie_review,imdb,train,False,0,2760,476,train
#GoTexans v. the dirty #Jets football team on MNF tonight -,0,negative,en,social_media,tweet_eval_sentiment,train,False,0,59,11,train
我又想减肥了，最好也能穿上李玟的美人鱼婚纱。有戏吗？[泪][泪] @SMallSkY1020 @??喵喵 @JS一杯咖啡,0,negative,zh,social_media,weibo_senti_100k,unsplit,True,2,60,4,train
"The words ""Swedish"" and ""Action movie"" do not mix. That becomes more and more obvious with every attempt made in the genre. This is yet another failed attempt.<br /><br />Lasse Brunell (Shanti Roney) works at a military air base with top secret computer systems. One day foreign criminals threaten to hurt his family if he doesn't do what they tell him. They want the secret equipment and will do anything to get it.<br /><br />This movie has it's ups and downs. And usually in Swedish action movies there are no ""ups"", just ""downs"". So i guess something in this movie showed some quality. To begin with the positive remarks i can mention that the movie is technically well made. The footage of planes and helicopters flying are well shot and look very nice. The acting is of very varying quality. Shanti Roney makes a decent performance while Maria Bonnevie is stiff and unnatural as usual (i wonder how long Swedish directors are going to keep using her even though she has the acting skills of a wooden plank?). Stefan Sauk is laughable as the ""cool"" special forces man who comes to the base to investigate.<br /><br />And what about the action scenes? Well as i said above the scenes of planes and helicopters flying are nice. But aside from that there is not much action to talk about. And that is a common problem with Swedish action films. There is just not enough action going on. Maybe it's a budget problem, maybe it's film-making culture. I don't know, but it negatively affects the experience. Because quite frankly, the story and acting is not good enough for this movie to rely just on that.<br /><br />I rate this 4/10 for effort.",0,negative,en,movie_review,imdb,train,False,0,1645,290,train
"I just saw this recently, after an interval of nearly forty years. It holds up well, especially Lionel Bart's outstanding songs. (""Who Will Buy"" with it's magical counterpoint, just one of many standouts.)<br /><br />I disagree with the other post that decried its G rating. The ratings system, brand new at the time, never intended the G (General) rating to mean ""completely devoid of conflict"".<br /><br />Characterizing it as unsuitable for kids reminds me of the description I once saw of The Wizard of Oz: A girl arrives in a strange land and kills the first person she encounters. She then goes on a road trip with three male companions and kills again.",1,positive,en,movie_review,imdb,train,False,0,659,113,train
"I wanted to see this movie because I am a very huge Abbott and Costello fan, and when I saw it, I liked it.<br /><br />This movie is funny, not hysterical, but funny. I mean I laughed at a lot of the funny parts and I just plain enjoyed it.<br /><br />Though it is not of the best of the Perfect Straight Man and the Perfect Buffoon, you should see this if you really love Abbott and Costello.<br /><br />Out of all of the Abbott and Costello movies that I have seen, I can't say I've seen one that I hated. This is decent, funny, and entertaining. Abbott and Costello at least made some pretty decent movies in their later years.<br /><br />All in all, I liked this movie, it is not one of their best ones, but I liked it.<br /><br />7/10",1,positive,en,movie_review,imdb,test,False,0,739,143,test
我在@金门食坊马家菜 ，靠近宽窄巷子，霍香鱼，麻辣兔丁，炒小白菜，好吃不贵[嘻嘻],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,41,2,train
九点多订的餐、等了两个多小时。速度太慢了。,1,positive,zh,food_delivery,waimai_10k,unsplit,False,0,21,1,test
"I liked the first movie, but this is a textbook example of a sequel that would have been better of left on the drawing board. The general idea in the first movie was, if not great, then at least very interesting. This sequel tries to build upon the idea and the characters from the first movie, and though Christopher Walken is still good as Gabriel, the whole idea suddenly gets a bit ridiculous. If you haven't seen any of these movies, then get the first movie and forget about the sequels, they can take away all of the joy from the original.",0,negative,en,movie_review,imdb,train,False,0,546,102,train
恩，没看走眼…[亲亲],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,11,1,test
看来110是靠不住了！手里有西瓜刀才是硬道理！ //@影视人储卫东:你骗不了我，视频我看了[怒],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,48,2,train
广告败笔，踩在别人身上往上爬的酒店又会是什么好酒店？//@连长: 我都奔四了，还不照样住经济连锁？//@酒店管家:经济型酒店躺着中枪！招谁惹谁了？！[悲伤],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,1,78,2,train
"Christopher Lee is one of my favorite actors! I'm trying to view all of his work. He has been known to single-handedly save movies with his presence. Unfortunately, this is not one of them. This movie suffers from a low budget and it's production values are disturbing. Please...for the love of Christopher....avoid this film!",0,negative,en,movie_review,imdb,train,False,0,326,54,train
太惊喜了，刚订上就送来了，而且感觉比以前好吃了，包装盒也从圆的变成了方的，非常棒,1,positive,zh,food_delivery,waimai_10k,unsplit,False,0,40,1,train
"In France, it's considered polite from French critics to genuflect to the apparently cohesive chain of films Brian De Palma left behind him. However, a good proportion of his films are marred by bombastic effects ""Carrie"" (1976), ""the Fury"" (1978) ""Scarface"" (1983) without mentioning his borrowings from Hitchcock. Here, in ""Dressed to Kill"", it's impossible not to think of ""Vertigo"" (1958) for the long sequence in the museum while the key moment in the lift makes inevitably think of the shower anthology sequence in ""Psycho"" (1960). About our involved film, I don't want to revive the old debate: does De Palma rip off Hitchcock? Instead, i would tend to be generous and to classify ""Dressed to Kill"" in the category of De Palma's winners alongside ""Sisters"" (1973) and ""Obssession"" (1976). With however some reservations and they're the ones I previously enumerated which fuel the bickering between De Palma's rabid fans and his detractors.<br /><br />If there's one sure thing in ""Dressed to Kill"" which can generate general agreement among film-lovers, it's De Palma's virtuosity in directing. He wields his camera just like a filmmaker expert is supposed to do. His sophisticated camera work brilliantly fuels the suspense which entails a rise of the tension and a discomforting aura. The audience is easily glued in front of the screen. This is helped by the use of several long silent sequences during which everything depends on looks and gestures. By the way, in ""Psycho"", there were also long silent, suspenseful parts...<br /><br />But the main drawback in De Palma's 1980 vintage is that the quality of the plot can't be found wanting and appears to be a rehash of many formulaic, corny ingredients pertaining to an incalculable number of murder stories. The prostitute is the sole witness of the crime. Then, she's suspected by the police and has to act on her own (with a little help from the victim's son from the scene in the subway onwards)) to track down the murderer and to prove her innocence. Apart from the fact that De Palma uses a type of character who for once isn't demeaned at all, it's a menu which smells the reheated. And the filmmaker ends his film on a sequence that echoes to the opening one. Yes, it's superbly filmed but when one discovers its real function, one figures: ""it's almost gratuitous filler"". Perhaps De Palma wanted to stretch his film beyond one hour and a half when at this time the viewer knows (and even before) who the killer is.<br /><br />The two central mainsprings in De Palma's set of themes articulate hinges on manipulation and voyeurism. The latter theme is well present in ""Dressed to Kill"" from the first scene onwards which makes the film almost look like a soft porn movie. And the filmmaker isn't afraid to film his main actress and wife Nancy Allen in her underwear. I find his approach about this theme rather doubtful. But maybe the first sequence was conceived to be a mirror of the viewer and De Palma wanted to stir his peeping tom side.<br /><br />I don't want to demean at all De Palma's work. His prestigious work in directing which entails a communicative treat to film redeems the global weakness of the story and its doubtful aspects. Twenty six years after, the controversy he aroused amid movie-goers isn't ready to subside.",1,positive,en,movie_review,imdb,train,False,0,3308,563,train
"Enough is enough...sometimes they just need to stop making movies based on a concept that is long dead. The first Tremors movie was great. The second one was ridiculous. The third one was nauseating. The tv series was depressingly awful. And this movie just drives the stake deeper.<br /><br />Basically another excuse for cheap computer effects and puppetry, now we have the series set in the Wild West, in the 1800's, and they fight graboids. Like a rehash of the first one, they have to learn how to beat them all over again. Mildly entertaining I suppose. Otherwise this straight-to-video release, just like Tremors 2 and 3, is just going way too far. Oh and I continue to wonder how there is never any record of these events taking place...did they just simply forget to record this unprecedented event? I think something like this would be history-making, so our pals in the first film wouldn't be so unprepared. <br /><br />Movies like this that ruin the original just make me crazy. Avoid this garbage.",0,negative,en,movie_review,imdb,train,False,0,1010,174,train
"I waited ages before seeing this as all the reviews I read of this said it was horrible! i rented it expecting the worst, and while it is hardly the best sandler film out there, there are much worse! Sandler frequently talks to the camera and the film does not take itself seriously, but that is all part of the fun! A great way to waste an afternoon, and you might even find yourself laughing once a twice! A good film, well worth renting!",1,positive,en,movie_review,imdb,train,False,0,440,84,train
送的真慢呢,0,negative,zh,food_delivery,waimai_10k,unsplit,False,0,5,1,validation
"Chaplin stars in a dual role as a jewish barber who, with amnesia, is mistaken for the dictator Adenoid Hynkel, (i.e Hitler) A movie made in 1940 when the war was in its dark days and was in no way won by the allies..it was banned in Germany by Hitler and was a risk in a way for Chaplin because if the war was lost, he surely wouldve been sent away to be ""reeducated""<br /><br />A funny satire with the classic scene of Hitler tossing around a giant balloon of the world..good fun but with a message..a little preachy in the end. This was the last movie with Chaplin's trademark little mustache. on a scale of one to ten..9",1,positive,en,movie_review,imdb,test,False,0,624,119,test
今天有口福啦，蟹宴[嘻嘻] 我在这里：http://t.cn/zlRByWu,1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,38,2,test
"I'm a fan of B grade 80s films in which the hero is a bit of a bad guy, a strong male, who finds love - and this film delivers!<br /><br />Towards the finish you do not know how Sharky will not be killed (and doesn't he take a beating! Realistically portrayed I believe). However he does and it's not via some overdone 'Die Hard' stunt. The 'past it' team he works with comes together, hence the title. His team are all characters - people on the sideline at work because they don't quite conform. These portrayals are funny and sympathetic - they have a real feeling to them. They're up against an iceman of an assassin, with a good team of his own. The result is a great film noir.",1,positive,en,movie_review,imdb,test,False,0,683,131,test
"What kind of a documentary about a musician fails to include a single track by the artist himself?! Unlike ""Ray"" or countless other films about music artists, half the fun in the theater (or on the couch) is reliving the great songs themselves. Here, all the tracks are covers put on by uninteresting characters, and these renditions fail to capture Cohen's slow, jazzy style. More often, the covers are badly sung folk versions. Yuck.<br /><br />The interviews are as much or more with other musicians and figures rather than with Cohen himself. Only rarely does the film feature Cohen reading his own work (never singing)-- like letters, poems, etc. The movie really didn't capture much about the artist's life story, either, or about his development through the years. A huge disappointment for a big Cohen fan.",0,negative,en,movie_review,imdb,validation,False,0,814,136,validation
俺哭了[泪][泪]@冥王星大使 你看看！,0,negative,zh,social_media,weibo_senti_100k,unsplit,True,2,20,2,train
"Other than the great cinematography by the marvelous James Wong Howe in the battle scenes, this film is a true stinker.<br /><br />This is the second film that I've seen in recent days directed by Alexander Korda. The first was Charles Laughton's ""Rembrandt."" It was so lousy that I shut it off. This one I'm afraid is not very much better.<br /><br />Flora Robson is as ugly as ever as Queen Elizabeth. Perhaps, her performance as the virgin Queen was good for 1937 standards but when you compare it to that of a Helen Mirren, it is absolutely no match. In robotic fashion, Robson states her lines. Her battle message to the English troops is so lackluster in spirit.<br /><br />Even a dashing Laurence Olivier can't save this utter piece of boredom.<br /><br />Future wife Vivien Leigh is in a supporting role here and she doesn't really convey anything here. To think, that Scarlett was 2 years later!<br /><br />It's a shame that history with the Spanish Armada is made out to be so boring in this film.",0,negative,en,movie_review,imdb,train,False,0,1007,178,train
Caitlyn Jenner may be facing manslaughter charges n not cuz she cut off her junk!!! :D #CouldntHelpMyself,0,negative,en,social_media,tweet_eval_sentiment,train,False,0,105,17,train
"大风天,不容易,非常好",1,positive,zh,food_delivery,waimai_10k,unsplit,False,0,11,1,train
@user bahaha! Love that idea. You could have a tornado and sun in the tree and Curtis' face be the star at the top:),1,positive,en,social_media,tweet_eval_sentiment,train,False,0,116,24,train
回复@鱼头鱼头烤玉米:鱼头MM春节带娃回来啊？真好！我昨晚真是翻腾米柜找了杂七杂八一堆杂粮，最后还放了刚从广西带回的桂圆肉，放上红糖早晨喝一大碗热乎乎滴，真好！ //@鱼头鱼头烤玉米:啊啊啊 难不成要我去台湾超市买一罐应景[悲伤][悲伤]完全不知道今天腊八啊[馋嘴][馋嘴][馋嘴][馋嘴][馋嘴][馋嘴],0,negative,zh,social_media,weibo_senti_100k,unsplit,True,8,153,3,train
"A group of human looking aliens going to Earth to eat crash land on a planet of prehistoric beasts instead where they all eat physcedelic mushrooms and act retarded. Padded with footage from ""Planet of the Dinosuars"" and horrible jokes this is definitely one to miss. The acting is atrocious as well, and while this isn't as bad as ""Chickboxer"" (what movie can be?) This is still pretty awful repugnant stuff. It's 90 minute running time feels like an eternity and you will likely be cursing life so do yourself a huge favor and just move on, skip this crappy film, there's nothing to see here.<br /><br />The film-makers try to resell this turd as a MST3K style making fun of the movie they made a decade before, and it works to an extent it's still nothing that watchable though, Ariauna Albright is hot, but Lilith Stabs has a pretty unattractive speaking voice.<br /><br />My Grade: D- <br /><br />DVD Extras: Joke commentary, 17 Behind the scenes featurette; 7 minute Into the black featurette; Jessica Mills reporting; Stills gallery; and original trailer",0,negative,en,movie_review,imdb,train,False,0,1061,182,train
I AM MUSLIM AND I AM WITH PARIS &amp; JAPAN. ARE YOU? #ParisAttacks #ParisShooting Islamist Friday the 13th #parisinflames #ISIS Charlie Hebdo,1,positive,en,social_media,tweet_eval_sentiment,train,False,0,142,22,train
热烈欢迎利兹都会的童鞋们[抱抱],1,positive,zh,social_media,weibo_senti_100k,unsplit,True,1,16,1,validation
@user @user very soon Iran will be the 10th. Who will be the first to start a nuclear war Iran or Russia?,0,negative,en,social_media,tweet_eval_sentiment,train,False,0,105,22,train
